"[0.7169117647058824, 0.4494485294117647]","[0.6299019607843137, 0.4209558823529412]","[0.5674019607843137, 0.3704044117647059]","[0.5245098039215687, 0.3244485294117647]","[0.4840686274509804, 0.28400735294117646]","[0.6139705882352942, 0.29044117647058826]","[0.5992647058823529, 0.22794117647058823]","[0.5906862745098039, 0.1957720588235294]","[0.5821078431372549, 0.16544117647058823]","[0.6605392156862745, 0.2849264705882353]","[0.6666666666666666, 0.22150735294117646]","[0.6691176470588235, 0.1875]","[0.6740196078431373, 0.15533088235294118]","[0.7009803921568627, 0.2913602941176471]","[0.7156862745098039, 0.23345588235294118]","[0.7156862745098039, 0.20036764705882354]","[0.7144607843137255, 0.17279411764705882]","[0.7426470588235294, 0.3069852941176471]","[0.7634803921568627, 0.2647058823529412]","[0.7708333333333334, 0.23897058823529413]","[0.7757352941176471, 0.21691176470588236]"
"[0.6985294117647058, 0.42003676470588236]","[0.6323529411764706, 0.39338235294117646]","[0.5759803921568627, 0.35661764705882354]","[0.5392156862745098, 0.3244485294117647]","[0.5183823529411765, 0.2922794117647059]","[0.6311274509803921, 0.28308823529411764]","[0.616421568627451, 0.23345588235294118]","[0.6090686274509803, 0.20404411764705882]","[0.6041666666666666, 0.17830882352941177]","[0.6752450980392157, 0.27941176470588236]","[0.6801470588235294, 0.22242647058823528]","[0.6850490196078431, 0.18933823529411764]","[0.6911764705882353, 0.16084558823529413]","[0.7120098039215687, 0.2858455882352941]","[0.7242647058823529, 0.23529411764705882]","[0.7291666666666666, 0.20496323529411764]","[0.7328431372549019, 0.17738970588235295]","[0.7463235294117647, 0.3014705882352941]","[0.7671568627450981, 0.26746323529411764]","[0.7781862745098039, 0.24448529411764705]","[0.7855392156862745, 0.22242647058823528]"
"[0.6997549019607843, 0.4016544117647059]","[0.6311274509803921, 0.3795955882352941]","[0.5735294117647058, 0.34191176470588236]","[0.5367647058823529, 0.3115808823529412]","[0.5134803921568627, 0.2858455882352941]","[0.6299019607843137, 0.2757352941176471]","[0.6115196078431373, 0.2270220588235294]","[0.6041666666666666, 0.19761029411764705]","[0.6017156862745098, 0.17279411764705882]","[0.6727941176470589, 0.2702205882352941]","[0.6776960784313726, 0.21415441176470587]","[0.6813725490196079, 0.18198529411764705]","[0.6862745098039216, 0.15441176470588236]","[0.7107843137254902, 0.2757352941176471]","[0.7218137254901961, 0.2261029411764706]","[0.7254901960784313, 0.1957720588235294]","[0.7279411764705882, 0.17003676470588236]","[0.7450980392156863, 0.29044117647058826]","[0.7634803921568627, 0.25735294117647056]","[0.7745098039215687, 0.23529411764705882]","[0.7830882352941176, 0.21415441176470587]"
"[1.0490196078431373, 0.5762867647058824]","[0.9803921568627451, 0.5422794117647058]","[0.9375, 0.49724264705882354]","[0.9166666666666666, 0.4568014705882353]","[0.9031862745098039, 0.41911764705882354]","[1.0318627450980393, 0.4255514705882353]","[1.0318627450980393, 0.3630514705882353]","[1.0318627450980393, 0.3235294117647059]","[1.0343137254901962, 0.2913602941176471]","[1.0821078431372548, 0.4273897058823529]","[1.107843137254902, 0.3602941176470588]","[1.1213235294117647, 0.31893382352941174]","[1.1348039215686274, 0.2858455882352941]","[1.1213235294117647, 0.44025735294117646]","[1.1482843137254901, 0.3795955882352941]","[1.1605392156862746, 0.34099264705882354]","[1.170343137254902, 0.3079044117647059]","[1.1519607843137254, 0.4632352941176471]","[1.1813725490196079, 0.421875]","[1.1948529411764706, 0.3943014705882353]","[1.204656862745098, 0.3694852941176471]"
"[1.1090686274509804, 0.3170955882352941]","[1.0441176470588236, 0.29503676470588236]","[1.0012254901960784, 0.25275735294117646]","[0.9779411764705882, 0.21415441176470587]","[0.9730392156862745, 0.1801470588235294]","[1.079656862745098, 0.19117647058823528]","[1.0735294117647058, 0.13511029411764705]","[1.0735294117647058, 0.09926470588235294]","[1.0772058823529411, 0.07077205882352941]","[1.125, 0.19209558823529413]","[1.1372549019607843, 0.13419117647058823]","[1.1470588235294117, 0.09558823529411764]","[1.1593137254901962, 0.06709558823529412]","[1.1629901960784315, 0.20496323529411764]","[1.178921568627451, 0.15165441176470587]","[1.1899509803921569, 0.11856617647058823]","[1.1997549019607843, 0.09099264705882353]","[1.1924019607843137, 0.2270220588235294]","[1.213235294117647, 0.19117647058823528]","[1.2254901960784315, 0.16727941176470587]","[1.2377450980392157, 0.14705882352941177]"
"[1.1066176470588236, 0.3244485294117647]","[1.0465686274509804, 0.29503676470588236]","[1.0036764705882353, 0.25183823529411764]","[0.9779411764705882, 0.21231617647058823]","[0.9718137254901961, 0.17830882352941177]","[1.0772058823529411, 0.19117647058823528]","[1.0723039215686274, 0.1332720588235294]","[1.071078431372549, 0.0974264705882353]","[1.0735294117647058, 0.06893382352941177]","[1.1225490196078431, 0.19301470588235295]","[1.1360294117647058, 0.1332720588235294]","[1.1470588235294117, 0.09558823529411764]","[1.1568627450980393, 0.06709558823529412]","[1.1605392156862746, 0.20680147058823528]","[1.178921568627451, 0.15349264705882354]","[1.1887254901960784, 0.11948529411764706]","[1.1973039215686274, 0.09191176470588236]","[1.1924019607843137, 0.22977941176470587]","[1.2144607843137254, 0.19301470588235295]","[1.2267156862745099, 0.17003676470588236]","[1.2377450980392157, 0.1488970588235294]"
"[1.1053921568627452, 0.34375]","[1.0428921568627452, 0.31433823529411764]","[0.9963235294117647, 0.2711397058823529]","[0.9705882352941176, 0.23253676470588236]","[0.9644607843137255, 0.19944852941176472]","[1.0735294117647058, 0.20863970588235295]","[1.0661764705882353, 0.15073529411764705]","[1.0649509803921569, 0.11672794117647059]","[1.0674019607843137, 0.08915441176470588]","[1.1200980392156863, 0.20772058823529413]","[1.1323529411764706, 0.14705882352941177]","[1.142156862745098, 0.109375]","[1.1531862745098038, 0.08272058823529412]","[1.1593137254901962, 0.21875]","[1.1752450980392157, 0.1645220588235294]","[1.1850490196078431, 0.13143382352941177]","[1.1936274509803921, 0.1056985294117647]","[1.1899509803921569, 0.23897058823529413]","[1.213235294117647, 0.20496323529411764]","[1.2254901960784315, 0.18198529411764705]","[1.2365196078431373, 0.16176470588235295]"
"[1.0906862745098038, 0.36856617647058826]","[1.025735294117647, 0.33731617647058826]","[0.9767156862745098, 0.296875]","[0.9509803921568627, 0.2610294117647059]","[0.9436274509803921, 0.22886029411764705]","[1.0514705882352942, 0.23345588235294118]","[1.0404411764705883, 0.17555147058823528]","[1.0379901960784315, 0.140625]","[1.0379901960784315, 0.1130514705882353]","[1.099264705882353, 0.23161764705882354]","[1.1127450980392157, 0.17003676470588236]","[1.1237745098039216, 0.13143382352941177]","[1.1348039215686274, 0.10477941176470588]","[1.1384803921568627, 0.2426470588235294]","[1.1531862745098038, 0.1875]","[1.161764705882353, 0.15257352941176472]","[1.1691176470588236, 0.12591911764705882]","[1.1727941176470589, 0.26286764705882354]","[1.1985294117647058, 0.2261029411764706]","[1.2095588235294117, 0.20128676470588236]","[1.2193627450980393, 0.18106617647058823]"
"[1.0747549019607843, 0.3860294117647059]","[1.0122549019607843, 0.3538602941176471]","[0.9656862745098039, 0.31433823529411764]","[0.9387254901960784, 0.27849264705882354]","[0.928921568627451, 0.24540441176470587]","[1.0404411764705883, 0.24908088235294118]","[1.0306372549019607, 0.19117647058823528]","[1.025735294117647, 0.15625]","[1.0269607843137254, 0.12775735294117646]","[1.0857843137254901, 0.24632352941176472]","[1.099264705882353, 0.18474264705882354]","[1.1102941176470589, 0.14613970588235295]","[1.1213235294117647, 0.11764705882352941]","[1.125, 0.25643382352941174]","[1.1384803921568627, 0.20128676470588236]","[1.1458333333333333, 0.16636029411764705]","[1.1519607843137254, 0.13970588235294118]","[1.1580882352941178, 0.2775735294117647]","[1.1838235294117647, 0.2417279411764706]","[1.1973039215686274, 0.21599264705882354]","[1.2083333333333333, 0.1957720588235294]"
"[1.071078431372549, 0.4007352941176471]","[1.0049019607843137, 0.3704044117647059]","[0.9546568627450981, 0.3318014705882353]","[0.9252450980392157, 0.2959558823529412]","[0.9142156862745098, 0.26286764705882354]","[1.0281862745098038, 0.2647058823529412]","[1.017156862745098, 0.20863970588235295]","[1.0110294117647058, 0.17463235294117646]","[1.0098039215686274, 0.14613970588235295]","[1.0772058823529411, 0.2610294117647059]","[1.0894607843137254, 0.20036764705882354]","[1.099264705882353, 0.16268382352941177]","[1.107843137254902, 0.1332720588235294]","[1.116421568627451, 0.2702205882352941]","[1.1311274509803921, 0.21599264705882354]","[1.1384803921568627, 0.18106617647058823]","[1.1433823529411764, 0.15441176470588236]","[1.150735294117647, 0.28952205882352944]","[1.1752450980392157, 0.25183823529411764]","[1.1887254901960784, 0.22794117647058823]","[1.1997549019607843, 0.20772058823529413]"
