"[0.603125, 0.8833333333333333]","[0.4984375, 0.8083333333333333]","[0.409375, 0.69375]","[0.3453125, 0.60625]","[0.2875, 0.5625]","[0.5125, 0.5083333333333333]","[0.490625, 0.3854166666666667]","[0.4734375, 0.30416666666666664]","[0.4578125, 0.22708333333333333]","[0.58125, 0.5020833333333333]","[0.6015625, 0.3645833333333333]","[0.6125, 0.26666666666666666]","[0.621875, 0.17708333333333334]","[0.6375, 0.5375]","[0.675, 0.4895833333333333]","[0.6484375, 0.5916666666666667]","[0.6234375, 0.6729166666666667]","[0.678125, 0.5958333333333333]","[0.7015625, 0.5729166666666666]","[0.6796875, 0.6354166666666666]","[0.659375, 0.6895833333333333]"
"[0.596875, 0.85625]","[0.4984375, 0.8104166666666667]","[0.409375, 0.69375]","[0.3453125, 0.6083333333333333]","[0.284375, 0.5645833333333333]","[0.509375, 0.5041666666666667]","[0.4859375, 0.3770833333333333]","[0.471875, 0.29791666666666666]","[0.459375, 0.22291666666666668]","[0.5765625, 0.5]","[0.596875, 0.35]","[0.60625, 0.2520833333333333]","[0.6203125, 0.1625]","[0.6328125, 0.5395833333333333]","[0.6703125, 0.49166666666666664]","[0.6421875, 0.59375]","[0.6234375, 0.6708333333333333]","[0.6765625, 0.6020833333333333]","[0.696875, 0.5729166666666666]","[0.678125, 0.6416666666666667]","[0.6625, 0.6979166666666666]"
"[0.5890625, 0.8479166666666667]","[0.4953125, 0.8104166666666667]","[0.409375, 0.6979166666666666]","[0.3484375, 0.6104166666666667]","[0.2875, 0.5625]","[0.5109375, 0.50625]","[0.4875, 0.37916666666666665]","[0.471875, 0.29791666666666666]","[0.459375, 0.22291666666666668]","[0.5796875, 0.5020833333333333]","[0.596875, 0.3541666666666667]","[0.609375, 0.25625]","[0.625, 0.16875]","[0.634375, 0.5395833333333333]","[0.675, 0.49166666666666664]","[0.646875, 0.5958333333333333]","[0.625, 0.675]","[0.6796875, 0.6020833333333333]","[0.703125, 0.58125]","[0.68125, 0.6520833333333333]","[0.6609375, 0.7083333333333334]"
"[0.6546875, 0.75625]","[0.590625, 0.7041666666666667]","[0.5296875, 0.6270833333333333]","[0.4796875, 0.5770833333333333]","[0.4328125, 0.5458333333333333]","[0.5921875, 0.5041666666666667]","[0.578125, 0.4125]","[0.5703125, 0.3625]","[0.565625, 0.31666666666666665]","[0.64375, 0.5083333333333333]","[0.6609375, 0.4]","[0.665625, 0.3375]","[0.671875, 0.28541666666666665]","[0.6828125, 0.5354166666666667]","[0.6875, 0.4979166666666667]","[0.6609375, 0.5541666666666667]","[0.64375, 0.6020833333333333]","[0.7125, 0.5729166666666666]","[0.70625, 0.5645833333333333]","[0.68125, 0.6083333333333333]","[0.6625, 0.6416666666666667]"
"[0.646875, 0.7479166666666667]","[0.5921875, 0.70625]","[0.5390625, 0.6333333333333333]","[0.49375, 0.58125]","[0.453125, 0.5479166666666667]","[0.5984375, 0.5104166666666666]","[0.584375, 0.42291666666666666]","[0.5734375, 0.36666666666666664]","[0.565625, 0.31666666666666665]","[0.64375, 0.5104166666666666]","[0.659375, 0.4083333333333333]","[0.6671875, 0.34375]","[0.6796875, 0.2875]","[0.68125, 0.5395833333333333]","[0.7109375, 0.49375]","[0.690625, 0.5604166666666667]","[0.6734375, 0.6125]","[0.709375, 0.5833333333333334]","[0.7328125, 0.5479166666666667]","[0.7171875, 0.59375]","[0.6984375, 0.6333333333333333]"
"[0.6421875, 0.7375]","[0.5875, 0.6979166666666666]","[0.534375, 0.6291666666666667]","[0.490625, 0.5791666666666667]","[0.453125, 0.55]","[0.5984375, 0.5104166666666666]","[0.584375, 0.42291666666666666]","[0.575, 0.36875]","[0.5671875, 0.32083333333333336]","[0.6421875, 0.5083333333333333]","[0.659375, 0.4083333333333333]","[0.6671875, 0.3458333333333333]","[0.678125, 0.28958333333333336]","[0.678125, 0.5333333333333333]","[0.7078125, 0.5020833333333333]","[0.690625, 0.5666666666666667]","[0.675, 0.6145833333333334]","[0.70625, 0.5729166666666666]","[0.7265625, 0.5479166666666667]","[0.7125, 0.5895833333333333]","[0.696875, 0.625]"
"[0.6390625, 0.73125]","[0.5859375, 0.69375]","[0.5375, 0.6291666666666667]","[0.49375, 0.58125]","[0.45625, 0.55]","[0.596875, 0.5104166666666666]","[0.584375, 0.425]","[0.5734375, 0.37083333333333335]","[0.565625, 0.3229166666666667]","[0.6390625, 0.5083333333333333]","[0.65625, 0.4125]","[0.6640625, 0.34791666666666665]","[0.6734375, 0.29375]","[0.6734375, 0.5333333333333333]","[0.70625, 0.5020833333333333]","[0.6875, 0.5625]","[0.671875, 0.6104166666666667]","[0.7, 0.5708333333333333]","[0.7234375, 0.54375]","[0.7109375, 0.5854166666666667]","[0.69375, 0.6229166666666667]"
"[0.6390625, 0.7291666666666666]","[0.5875, 0.6895833333333333]","[0.5390625, 0.625]","[0.4953125, 0.5770833333333333]","[0.4578125, 0.5458333333333333]","[0.5953125, 0.5125]","[0.5828125, 0.4270833333333333]","[0.5734375, 0.375]","[0.5671875, 0.32708333333333334]","[0.6375, 0.5083333333333333]","[0.6546875, 0.41458333333333336]","[0.6625, 0.35]","[0.671875, 0.29791666666666666]","[0.671875, 0.53125]","[0.703125, 0.5]","[0.6875, 0.5604166666666667]","[0.6734375, 0.6104166666666667]","[0.6984375, 0.5666666666666667]","[0.721875, 0.5416666666666666]","[0.709375, 0.5833333333333334]","[0.69375, 0.6208333333333333]"
"[0.6375, 0.7208333333333333]","[0.5859375, 0.6854166666666667]","[0.5359375, 0.6208333333333333]","[0.49375, 0.575]","[0.4578125, 0.54375]","[0.5953125, 0.5104166666666666]","[0.5828125, 0.4270833333333333]","[0.5734375, 0.375]","[0.5671875, 0.32708333333333334]","[0.6359375, 0.5083333333333333]","[0.6515625, 0.41458333333333336]","[0.6609375, 0.3541666666666667]","[0.6703125, 0.3]","[0.6703125, 0.5291666666666667]","[0.7, 0.5]","[0.684375, 0.5604166666666667]","[0.6703125, 0.6104166666666667]","[0.6953125, 0.5625]","[0.71875, 0.5375]","[0.709375, 0.575]","[0.6953125, 0.6104166666666667]"
"[0.6359375, 0.71875]","[0.584375, 0.6833333333333333]","[0.5359375, 0.6208333333333333]","[0.496875, 0.5770833333333333]","[0.4609375, 0.5520833333333334]","[0.59375, 0.5083333333333333]","[0.58125, 0.4270833333333333]","[0.571875, 0.375]","[0.565625, 0.32916666666666666]","[0.634375, 0.5083333333333333]","[0.6484375, 0.4166666666666667]","[0.6578125, 0.35625]","[0.6671875, 0.30416666666666664]","[0.66875, 0.5291666666666667]","[0.696875, 0.5]","[0.68125, 0.55625]","[0.665625, 0.6041666666666666]","[0.6953125, 0.5645833333333333]","[0.7171875, 0.5375]","[0.7078125, 0.5729166666666666]","[0.696875, 0.60625]"
"[0.6328125, 0.7125]","[0.5828125, 0.6770833333333334]","[0.534375, 0.61875]","[0.49375, 0.5770833333333333]","[0.459375, 0.5520833333333334]","[0.5921875, 0.5083333333333333]","[0.5796875, 0.4270833333333333]","[0.5703125, 0.3770833333333333]","[0.5640625, 0.33125]","[0.63125, 0.50625]","[0.646875, 0.41458333333333336]","[0.65625, 0.35208333333333336]","[0.6671875, 0.3]","[0.665625, 0.5270833333333333]","[0.690625, 0.5]","[0.678125, 0.55625]","[0.665625, 0.6041666666666666]","[0.6921875, 0.5604166666666667]","[0.7125, 0.5375]","[0.70625, 0.56875]","[0.696875, 0.6020833333333333]"
"[0.63125, 0.7125]","[0.5828125, 0.6729166666666667]","[0.5359375, 0.6145833333333334]","[0.496875, 0.575]","[0.4609375, 0.5520833333333334]","[0.590625, 0.50625]","[0.578125, 0.4270833333333333]","[0.5703125, 0.3770833333333333]","[0.5640625, 0.3333333333333333]","[0.6296875, 0.5041666666666667]","[0.64375, 0.4166666666666667]","[0.6515625, 0.35625]","[0.6625, 0.30625]","[0.6625, 0.5291666666666667]","[0.6875, 0.49583333333333335]","[0.6703125, 0.5520833333333334]","[0.6578125, 0.6]","[0.6890625, 0.5645833333333333]","[0.7078125, 0.5375]","[0.7, 0.5666666666666667]","[0.6921875, 0.5958333333333333]"
"[0.63125, 0.7104166666666667]","[0.5828125, 0.6729166666666667]","[0.5359375, 0.6104166666666667]","[0.4953125, 0.5729166666666666]","[0.4609375, 0.55]","[0.590625, 0.5083333333333333]","[0.578125, 0.42916666666666664]","[0.56875, 0.37916666666666665]","[0.5625, 0.33541666666666664]","[0.628125, 0.50625]","[0.6421875, 0.41875]","[0.65, 0.35833333333333334]","[0.6609375, 0.3104166666666667]","[0.6609375, 0.5291666666666667]","[0.6859375, 0.4979166666666667]","[0.6703125, 0.5520833333333334]","[0.6578125, 0.5979166666666667]","[0.6859375, 0.5645833333333333]","[0.7046875, 0.5395833333333333]","[0.696875, 0.5708333333333333]","[0.6890625, 0.6]"
"[0.571875, 0.725]","[0.5078125, 0.7083333333333334]","[0.49375, 0.6416666666666667]","[0.5203125, 0.5979166666666667]","[0.5546875, 0.5979166666666667]","[0.5125, 0.5208333333333334]","[0.490625, 0.40208333333333335]","[0.46875, 0.31666666666666665]","[0.45625, 0.24583333333333332]","[0.5765625, 0.5083333333333333]","[0.5984375, 0.3875]","[0.609375, 0.29791666666666666]","[0.615625, 0.22916666666666666]","[0.63125, 0.5291666666666667]","[0.6765625, 0.475]","[0.6640625, 0.58125]","[0.65, 0.65625]","[0.6765625, 0.5666666666666667]","[0.7078125, 0.5729166666666666]","[0.6890625, 0.6520833333333333]","[0.6625, 0.7125]"
"[0.6328125, 0.7145833333333333]","[0.584375, 0.6729166666666667]","[0.5390625, 0.6125]","[0.496875, 0.575]","[0.459375, 0.5541666666666667]","[0.590625, 0.50625]","[0.5765625, 0.425]","[0.56875, 0.3770833333333333]","[0.5625, 0.3375]","[0.6296875, 0.50625]","[0.64375, 0.41458333333333336]","[0.65, 0.35625]","[0.659375, 0.30833333333333335]","[0.6625, 0.5291666666666667]","[0.684375, 0.49375]","[0.6671875, 0.5479166666666667]","[0.653125, 0.59375]","[0.690625, 0.5625]","[0.709375, 0.53125]","[0.7125, 0.5375]","[0.7140625, 0.5416666666666666]"
"[0.6296875, 0.7104166666666667]","[0.584375, 0.6708333333333333]","[0.5390625, 0.6125]","[0.4984375, 0.5729166666666666]","[0.4640625, 0.55]","[0.590625, 0.5083333333333333]","[0.5796875, 0.42916666666666664]","[0.571875, 0.37916666666666665]","[0.565625, 0.33541666666666664]","[0.628125, 0.5083333333333333]","[0.64375, 0.42083333333333334]","[0.6515625, 0.3625]","[0.6625, 0.3125]","[0.659375, 0.53125]","[0.6828125, 0.4979166666666667]","[0.66875, 0.55]","[0.6578125, 0.59375]","[0.684375, 0.5666666666666667]","[0.7046875, 0.5354166666666667]","[0.7109375, 0.5354166666666667]","[0.71875, 0.5354166666666667]"
